carat,cut,color,clarity,table,price
2.15,Fair,J,I1,57.0,5430
0.59,Ideal,I,VVS1,56.0,2049
0.38,Ideal,E,VS2,57.0,963
0.31,Premium,G,SI1,55.0,593
1.2,Ideal,E,VS2,56.0,10214
0.7,Good,I,SI1,63.0,1763
0.39,Ideal,F,VVS1,55.0,1124
0.66,Ideal,H,SI1,55.0,1936
0.5,Fair,I,VS1,56.0,969
1.0,Premium,D,SI1,57.0,5880
0.9,Ideal,G,SI1,57.0,4059
0.41,Premium,G,VS1,58.0,961
1.54,Premium,G,VS2,59.0,12800
1.11,Ideal,I,SI1,56.0,4645
0.71,Very Good,I,SI1,58.0,2141
0.32,Ideal,I,VS1,54.0,523
0.34,Ideal,F,SI2,56.0,447
1.05,Ideal,E,VVS2,56.0,8982
1.01,Premium,F,VVS1,58.0,10341
0.33,Ideal,F,IF,56.0,1240
0.9,Ideal,D,SI2,56.0,4007
1.38,Premium,G,VS1,58.0,10850
0.25,Very Good,D,VS1,59.0,436
0.36,Premium,E,VS2,58.0,684
0.8,Very Good,F,SI1,55.0,2914
1.01,Premium,J,VS2,61.0,3722
0.51,Premium,J,SI1,56.0,956
0.31,Premium,G,VVS1,61.0,1046
0.25,Ideal,F,VVS1,56.0,705
2.01,Ideal,I,VS1,56.0,17068
1.5,Premium,D,VS2,60.0,15240
0.76,Ideal,H,VS2,55.0,3016
1.16,Premium,F,SI2,59.0,4476
0.32,Premium,G,IF,60.0,954
0.52,Premium,F,VS2,59.0,1720
1.32,Fair,F,VVS1,66.0,12648
0.91,Very Good,H,VS2,57.0,3924
0.51,Ideal,G,VS1,56.0,1656
0.78,Premium,F,SI1,57.0,2469
0.7,Premium,H,SI2,61.0,2184
0.7,Very Good,E,SI1,56.0,2239
0.26,Ideal,E,VS1,57.0,556
0.3,Ideal,G,VVS2,57.0,850
0.58,Ideal,E,SI2,58.0,1359
0.51,Very Good,E,VVS1,59.0,2369
0.44,Premium,F,VS2,58.0,926
1.7,Very Good,G,VS2,55.0,18107
1.03,Ideal,G,VVS2,57.0,7876
2.29,Premium,H,VS2,60.0,17539
0.4,Very Good,H,VS1,58.0,807
0.7,Very Good,F,SI2,59.0,1792
1.02,Ideal,G,SI1,57.0,5398
1.09,Ideal,G,SI1,56.0,4970
0.57,Good,D,SI1,64.0,1847
0.38,Ideal,H,VS1,57.0,1117
1.04,Very Good,D,SI2,58.0,5265
0.3,Ideal,H,VVS1,56.0,819
0.34,Premium,H,VS2,58.0,689
0.7,Ideal,E,VS2,56.0,2697
0.3,Very Good,F,VVS2,56.0,613
1.61,Premium,F,SI1,58.0,10477
1.11,Very Good,H,SI2,59.0,4584
0.38,Ideal,F,VS1,55.0,1131
0.32,Very Good,F,VVS2,55.0,717
0.77,Ideal,I,VVS2,55.0,2598
0.5,Very Good,G,VS1,58.0,1592
1.11,Ideal,I,VS2,56.0,5073
0.5,Premium,J,SI1,58.0,1125
0.32,Ideal,G,SI1,57.0,477
1.65,Ideal,G,VS2,55.0,9425
0.94,Very Good,E,SI2,58.0,3886
1.01,Premium,F,VS2,58.0,6446
1.07,Premium,E,VS1,61.0,8015
1.03,Very Good,D,VS1,61.0,6848
1.0,Very Good,F,VS2,56.0,6013
0.24,Good,E,VVS1,64.0,492
1.04,Premium,D,SI2,59.0,4811
0.73,Very Good,F,SI1,56.0,2879
2.66,Good,H,SI2,57.0,16239
0.72,Premium,F,VVS2,58.0,3250
1.0,Fair,F,SI1,57.0,4328
0.3,Premium,D,SI1,59.0,709
0.8,Ideal,I,VS1,54.1,2986
0.9,Premium,D,SI1,56.0,3568
1.01,Premium,E,SI2,60.0,4878
0.72,Very Good,F,VS1,59.0,3059
0.72,Good,H,VS2,61.0,2497
0.32,Very Good,H,VS1,58.0,561
0.29,Very Good,D,SI1,55.0,737
0.9,Very Good,F,SI2,63.0,3630
1.0,Good,F,SI1,58.0,4586
1.38,Ideal,G,VVS1,56.0,13250
0.5,Very Good,G,SI1,57.0,1098
0.4,Premium,D,SI2,58.0,666
1.24,Ideal,G,VVS1,56.0,11503
0.71,Ideal,E,VS1,56.0,2877
0.51,Premium,F,VS1,58.0,1749
1.12,Ideal,F,SI2,57.0,4720
1.03,Ideal,H,SI2,57.0,4325
1.2,Ideal,F,VS2,56.0,8486
0.42,Premium,F,VVS2,59.0,1142
1.0,Premium,H,SI1,59.0,4816
0.44,Ideal,E,VVS2,57.0,1274
0.7,Very Good,F,SI1,58.0,2161
1.79,Premium,G,SI1,58.0,14127
1.01,Good,F,VVS2,54.0,7001
0.33,Ideal,E,VVS1,55.0,1130
0.38,Premium,E,SI1,58.0,658
0.42,Premium,F,SI1,58.0,966
0.57,Very Good,E,SI2,57.0,1315
0.99,Fair,I,SI2,56.0,2811
1.51,Good,E,SI1,57.0,10696
0.5,Very Good,F,SI1,61.0,1250
0.3,Ideal,F,VVS2,53.0,694
1.19,Good,G,VVS2,61.0,8995
0.32,Premium,D,VVS2,60.0,926
0.54,Ideal,E,SI2,57.0,1111
0.27,Ideal,F,VS1,57.0,577
0.76,Ideal,E,SI1,57.0,2949
0.7,Good,E,SI2,56.0,2028
0.77,Very Good,H,VS1,60.0,2840
0.72,Ideal,F,VS1,56.0,3759
0.59,Ideal,G,IF,57.0,2611
1.7,Premium,E,SI1,57.0,15662
0.57,Very Good,F,VVS2,56.0,1902
1.3,Premium,J,VS1,56.0,6334
0.44,Ideal,H,IF,55.0,1177
0.32,Ideal,D,SI1,56.0,756
1.06,Ideal,H,SI1,56.0,5188
0.46,Ideal,J,VS2,56.0,746
0.41,Ideal,E,VVS1,57.0,1431
0.52,Ideal,H,SI1,54.0,1074
0.7,Ideal,H,VS1,59.0,2648
0.24,Very Good,I,VS1,56.0,397
0.83,Premium,E,SI1,59.0,2913
0.34,Premium,I,VS1,60.0,689
0.28,Very Good,E,VS1,60.0,434
0.3,Ideal,I,VVS2,56.0,495
1.22,Premium,G,SI2,58.0,5739
0.3,Very Good,J,VS1,55.0,506
0.54,Ideal,G,SI2,55.0,1028
0.72,Very Good,J,VS1,57.0,2066
0.5,Ideal,E,VS1,58.0,2034
1.25,Ideal,E,IF,55.0,16823
0.31,Premium,G,VS1,58.0,802
1.52,Very Good,F,VS1,56.0,15819
0.5,Good,D,SI1,54.0,1436
0.32,Ideal,H,VVS1,56.0,936
0.4,Premium,D,SI1,59.0,990
1.07,Ideal,G,VVS2,56.0,9169
2.39,Ideal,I,VS2,55.0,17955
1.53,Premium,J,IF,58.0,9424
0.44,Very Good,F,SI2,60.0,648
0.71,Ideal,D,VS2,56.0,3137
1.23,Very Good,G,SI1,56.0,6665
2.43,Very Good,H,SI2,57.0,16170
1.13,Premium,F,I1,56.0,3607
0.32,Ideal,D,VVS2,55.0,790
0.24,Ideal,F,VVS2,56.0,540
1.12,Premium,I,VS2,58.0,4321
0.59,Very Good,F,VS2,57.0,1813
0.83,Ideal,E,SI1,56.0,3775
0.33,Premium,G,VVS2,59.0,927
0.63,Very Good,D,SI1,57.0,1939
2.22,Good,I,SI1,58.0,17151
0.7,Ideal,G,SI1,56.0,2699
1.22,Ideal,J,SI1,55.0,5192
1.54,Premium,H,VS2,59.0,10897
1.18,Premium,I,SI1,56.0,5088
1.32,Very Good,H,SI2,59.0,6085
0.5,Good,H,SI1,58.0,1017
0.72,Ideal,E,VS2,56.0,3601
0.74,Premium,E,VS2,59.0,3108
0.3,Ideal,H,VS2,57.0,491
0.4,Ideal,G,VS2,54.0,980
1.51,Ideal,H,VS2,57.0,11540
0.55,Very Good,F,VS1,56.4,1975
0.33,Premium,G,VVS2,58.0,965
2.21,Ideal,G,SI2,60.0,15948
0.5,Very Good,G,VVS2,58.0,1784
1.0,Good,G,SI1,58.0,4427
0.7,Ideal,I,VS2,57.0,2111
0.5,Premium,G,SI2,58.0,1121
0.39,Very Good,E,VVS2,58.0,1054
0.34,Very Good,F,VS2,58.0,686
0.4,Ideal,D,SI1,55.0,990
1.01,Premium,H,I1,58.0,2520
0.35,Very Good,E,SI1,58.0,614
0.31,Premium,H,VVS2,59.0,802
0.33,Ideal,G,VVS1,56.0,1114
0.3,Ideal,G,VVS1,57.0,1013
0.52,Very Good,D,VS2,59.0,1847
1.0,Ideal,G,VVS1,57.0,8366
0.53,Ideal,G,IF,56.0,2247
0.56,Ideal,G,VS2,56.0,1698
0.91,Very Good,J,VS2,59.0,3290
0.31,Ideal,H,SI1,56.0,573
0.24,Ideal,F,IF,57.0,678
0.32,Ideal,H,IF,54.0,814
1.05,Very Good,I,VS2,59.0,4975
0.71,Ideal,G,SI1,57.0,2307
0.91,Very Good,H,VS1,63.0,4066
0.51,Good,F,SI1,56.0,1220
0.9,Fair,E,VS1,56.0,3276
0.6,Very Good,J,VS1,56.0,1378
0.8,Very Good,H,VVS2,56.0,3036
0.43,Very Good,I,SI2,54.0,691
1.02,Good,H,SI1,58.0,4604
1.29,Ideal,J,VS2,59.0,5771
2.0,Good,I,SI1,61.0,15072
0.56,Ideal,G,VS1,56.0,1915
0.96,Ideal,I,I1,56.0,2363
0.53,Ideal,E,VS1,57.0,1928
0.7,Very Good,E,VS1,60.0,3068
0.43,Ideal,I,VVS2,57.0,929
0.3,Ideal,G,IF,57.0,895
1.02,Very Good,E,SI1,58.0,5232
0.24,Ideal,F,VVS1,56.0,678
1.24,Ideal,E,VS2,58.0,8887
1.01,Very Good,F,VS2,59.0,6944
0.71,Premium,F,SI2,59.0,2072
0.73,Premium,E,SI2,58.0,2278
0.38,Very Good,E,VS2,56.0,740
0.8,Very Good,I,SI2,56.0,2329
0.7,Very Good,G,SI2,58.0,2141
2.1,Premium,I,SI1,59.0,15818
1.09,Very Good,F,VVS1,58.0,10463
0.7,Ideal,G,SI2,56.0,2268
0.9,Premium,I,VVS2,59.0,3730
1.27,Ideal,E,VS2,55.0,6543
1.21,Premium,D,VS1,59.0,10083
0.31,Ideal,D,SI1,54.0,732
1.57,Ideal,H,SI1,56.0,11068
1.4,Very Good,G,VS1,58.0,11262
0.31,Good,D,SI2,57.0,593
0.6,Premium,D,SI2,56.0,1385
0.5,Very Good,G,VS2,58.0,1354
1.03,Ideal,J,SI1,56.0,3921
0.43,Ideal,D,VS2,55.0,1056
0.33,Very Good,F,VS2,56.0,854
0.42,Premium,D,VS2,58.0,825
2.03,Very Good,I,VS2,59.0,15826
1.01,Good,E,SI2,58.0,4149
0.26,Ideal,H,VS1,55.0,482
0.4,Very Good,J,VS2,57.0,596
2.04,Very Good,G,SI2,58.0,16389
1.68,Ideal,E,SI2,55.0,11781
2.0,Fair,H,SI1,56.0,14430
1.75,Premium,E,SI1,61.0,15394
1.02,Premium,H,SI2,59.0,4284
0.32,Ideal,G,VS2,55.0,561
0.71,Good,G,SI1,58.0,2240
0.56,Ideal,G,SI1,53.0,1591
0.67,Very Good,G,VVS1,56.0,3178
2.03,Very Good,J,SI2,60.0,11968
0.9,Ideal,G,SI2,57.0,2968
0.33,Premium,I,VS1,60.0,668
0.3,Ideal,E,VVS1,56.0,838
0.36,Ideal,E,VS2,55.0,1013
1.06,Very Good,E,SI1,55.0,5445
1.12,Premium,H,VS2,59.0,6052
1.5,Very Good,E,SI2,59.0,9548
1.21,Fair,H,VS2,56.0,5041
0.71,Good,E,SI2,63.0,2120
2.1,Ideal,J,VS2,61.0,13462
0.56,Ideal,G,IF,56.0,2442
0.9,Premium,F,VS1,58.0,4687
0.32,Premium,E,VS2,59.0,702
0.34,Ideal,E,VS2,55.0,745
0.35,Ideal,H,VVS1,53.9,743
0.32,Ideal,G,SI1,57.0,612
0.52,Premium,E,VS2,60.0,1694
0.7,Good,D,VVS2,57.0,3312
1.28,Ideal,G,SI2,57.0,5995
1.08,Good,D,SI1,59.0,5927
0.51,Very Good,E,VS2,62.0,1393
0.41,Premium,I,VVS1,59.0,1107
0.7,Ideal,I,VS2,56.0,2270
1.01,Premium,E,SI1,58.0,5525
0.32,Ideal,D,VVS1,57.0,1140
0.31,Premium,H,IF,58.0,1046
1.04,Ideal,I,SI1,59.0,4484
0.5,Ideal,H,VS2,58.0,1400
0.51,Good,F,SI1,58.0,1274
1.01,Premium,G,SI1,59.0,5006
0.31,Ideal,G,VVS1,57.0,816
1.6,Good,E,SI1,58.0,12467
0.32,Premium,H,VS1,60.0,561
0.4,Good,I,VS1,55.0,945
1.21,Ideal,F,VS2,59.0,8691
0.74,Premium,F,SI1,58.0,2452
1.25,Ideal,E,VS2,56.0,8400
